Sample	Clusters
S7376	DR_NT
S6051	DR_NT
S734	IE_NT
S735	IE_NT
S736	IE_NT
S3677	IE_NT
S737	IE_NT
S8227	AA_T
S5486	IE_NT
S299	DR_T
S738	IE_NT
S3678	IE_NT
S3679	IE_NT
S739	IE_NT
S5036	IE_NT
S2892	IE_NT
S6989	DR_NT
S8638	TB_T
S7377	DR_NT
S8689	TB_T
S8992	IE_T
S9507	IE_T
S8993	IE_T
S7884	AA_T
S8740	TB_T
S8555	TB_T
S8865	TB_T
S6052	DR_NT
S740	IE_NT
S6053	DR_NT
S323	DR_T
S6054	DR_NT
S9328	IE_T
S5037	IE_NT
S3680	IE_NT
S3681	IE_NT
S741	IE_NT
S7378	DR_NT
S6055	DR_NT
S7967	AA_T
S1981	IE_NT
S3682	IE_NT
S3683	IE_NT
S2048	IE_NT
S742	IE_NT
S6056	DR_NT
S3684	IE_NT
S5354	IE_NT
S3685	IE_NT
S8105	AA_T
S743	IE_NT
S6057	DR_NT
S2351	IE_NT
S3686	IE_NT
S5487	IE_NT
S744	IE_NT
S2657	IE_NT
S6990	DR_NT
S3687	IE_NT
S5380	IE_NT
S1899	IE_NT
S6058	DR_NT
S7809	AA_T
S7379	DR_NT
S3688	IE_NT
S3689	IE_NT
S745	IE_NT
S746	IE_NT
S9329	IE_T
S6059	DR_NT
S747	IE_NT
S5641	IE_NT
S9330	IE_T
S8040	AA_T
S2480	IE_NT
S6060	DR_NT
S2215	IE_NT
S8715	TB_T
S6061	DR_NT
S9331	IE_T
S2758	IE_NT
S748	IE_NT
S6991	DR_NT
S8870	TB_T
S2574	IE_NT
S8611	TB_T
S3690	IE_NT
S749	IE_NT
S3691	IE_NT
S2893	IE_NT
S2039	IE_NT
S9628	IE_T
S6992	DR_NT
S8534	TB_T
S8228	AA_T
S7582	DR_NT
S2043	IE_NT
S2894	IE_NT
S2248	IE_NT
S3692	IE_NT
S7830	AA_T
S5488	IE_NT
S2153	IE_NT
S6993	DR_NT
S750	IE_NT
S751	IE_NT
S46	DR_T
S7380	DR_NT
S752	IE_NT
S2413	IE_NT
S5642	IE_NT
S6062	DR_NT
S6063	DR_NT
S2126	IE_NT
S8415	TB_NT
S8883	TB_T
S753	IE_NT
S5038	IE_NT
S8056	AA_T
S3693	IE_NT
S5327	IE_NT
S369	DR_T
S2087	IE_NT
S6994	DR_NT
S1972	IE_NT
S6064	DR_NT
S2895	IE_NT
S3694	IE_NT
S6065	DR_NT
S6066	DR_NT
S5039	IE_NT
